size,text
87,javascript
70,語言
34,瀏覽
33,瀏覽器
32,程式
24,支援
23,ECMAScript
22,引擎
21,JScript
18,版本
16,java
16,編輯
15,html
15,標準
15,設計
14,排版引擎
14,程式語言
14,網頁
13,網景
12,browser
12,不再支援
12,伺服
12,執行
12,舊版本
11,伺服器
11,公司
11,實作
10,ECMA-262
10,world
9,Explorer
9,basic
9,console.log
9,web
9,物件
9,編譯
9,英語
8,Hello
8,Visual
8,函式
8,戶端
8,技術
8,是一
8,用戶
8,編程
8,腳本
8,這是正確的
8,開發
8,電腦
7,ActionScript
7,Python
7,ecma
7,一種
7,器端
7,式設計
7,用戶端
7,結構
7,腳本語言
6,Google
6,Internet
6,Microsoft
6,Node.js
6,PHP
6,Pascal
6,XML
6,catch
6,isbn
6,try
6,伺服器端
6,使用
6,例如
6,其他
6,動態
6,可以
6,名為
6,基於
6,微軟
6,的語
6,程式設計
6,網路
6,語句
6,語法
6,閱論編
5,.NET
5,CSS
5,Netscape
5,Opera
5,Perl
5,Ruby
5,V8
5,VBScript
5,ajax
5,一個
5,一門
5,不同
5,主要
5,令式
5,作用域
5,家族
5,平台
5,應用
5,指令
5,控制
5,文字
5,昇陽
5,格式
5,框架
5,標準化
5,為了
5,的語言
5,目前
5,相關
5,結構化
5,網景公司
5,譯語言
5,電子
4,ASP
4,CoffeeScript
4,DOM
4,HTML5
4,List
4,SQL
4,Safari
4,Scheme
4,Self
4,SpiderMonkey
4,TypeScript
4,eval
4,firefox
4,script
4,version
4,x200b
4,上的
4,互動
4,作為
4,函數
4,原型
4,商標
4,器的
4,工具
4,指令式
4,描述
4,文件
4,歐洲電腦製造商協
4,洲電腦製造商協會
4,物件導向
4,物件模型
4,特性
4,的程式
4,的開
4,直接
4,解譯
4,解釋
4,語言的
4,變數
4,迴圈
4,這門語言
4,進行
4,開始
4,類型
3,Chrome
3,Comparison
3,DHTML
3,Dart
3,Delphi
3,Gecko
3,JSON
3,JSP
3,Language
3,ML
3,MathML
3,Mobile
3,Smalltalk
3,Turbo
3,VB.NET
3,WebKit
3,XHTML
3,alert
3,edition
3,engines
3,generics
3,http
3,library
3,lisp
3,type
3,update
3,zh-cn
3,zh-tw
3,且在
3,世界
3,主題
3,之一
3,之前
3,了一
3,以下
3,伺服器的
3,公司的
3,函式庫
3,列表
3,功能
3,包括
3,參考
3,參見
3,命名
3,器上
3,在瀏覽器
3,在用戶
3,在網景公司
3,在語
3,型別
3,基於原型
3,安全
3,將其
3,對應
3,已經
3,式的
3,控制台
3,推出
3,提供
3,日期
3,是一種
3,是一門
3,是在
3,显示
3,最初
3,有很
3,檢測
3,比較
3,法和
3,現在
3,用來
3,用於
3,的方法
3,的標準
3,的腳本
3,目的
3,直譯語言
3,確定
3,程式碼
3,系統
3,組成的
3,網頁瀏覽器
3,網頁設計
3,與昇陽
3,規範
3,語言有
3,語言標準
3,資料
3,部分
3,開發的
3,閱論編網頁
3,隨著
3,需要
3,頁面
3,顯示
2,3rd
2,5th
2,ASP.NET
2,Array
2,Asynchronous
2,AtScript
2,BOM
2,Blink
2,Brendan
2,CGI
2,CLI
2,Chakra
2,Clojure
2,Closure
2,ColdFusion
2,CommonJS
2,Comodo
2,Cookie
2,DMDScript
2,Deepnet
2,Developer
2,Edge
2,Edition
2,Editor
2,Eich
2,Eiffel
2,Express
2,Flash
2,GNU
2,Galio
2,IBM
2,IE
2,Identifier
2,International
2,JSDoc
2,JSHint
2,JSLint
2,JavaScriptCore
2,John
2,Konqueror
2,LiveScript
2,Lua
2,MSN
2,Minor
2,Mozilla
2,Navigator
2,NeoPlanet
2,NetFront
2,New
2,Nintendo
2,Objective-C
2,Objective-J
2,Overview
2,PDF
2,PL
2,PSM
2,Page
2,QtScript
2,Resig
2,SGML
2,SVG
2,Scala
2,Schema
2,Small
2,Standard
2,Studio
2,Swift
2,TV
2,Toolkit
2,URL
2,USPTO
2,Uniform
2,WebGL
2,WebSocket
2,announce
2,applet
2,application
2,body
2,console
2,console.logg
2,definition
2,developer.mozilla.org
2,do-while
2,ed.
2,fortran
2,frameworks
2,head
2,io
2,let
2,link
2,midori
2,switch
2,title
2,while
2,xBase
2,一種解釋
2,不同的
2,不是
2,不需
2,主流
2,事件
2,代碼
2,代表
2,以及
2,以在
2,会停下来
2,但是
2,但這
2,作之
2,作為給
2,個部分
