year,TP,Cha,SD,AN ,CTSI
"2013,01",10.17,2.42,5.35,9199,37.56
"2013,02",10.83,1.32,6.42,9508,35
"2013,03",7,3.51,5.9,12363,36.52
"2013,04",11.33,1.35,3.45,12977,38.29
"2013,05",9,2.12,4.58,13114,37.28
"2013,06",9,2.75,4.77,14038,37.95
"2013,07",10,2.4,3.78,17680,39.12
"2013,08",14.33,2.72,3.47,17364,41.68
"2013,09",9.83,4.35,4.43,19859,40.22
"2013,10",12.17,7.8,4,25953,43.65
"2013,11",7.67,3.1,5.65,17124,36.76
"2013,12",8.67,1.55,4.55,4857,36.11
"2014,01",7.83,1.53,5.7,4492,34.51
"2014,02",9,0.52,5.97,4360,31.4
"2014,03",6.83,3.84,4.75,7378,37.73
"2014,04",9.83,0.93,4.3,7951,35.34
"2014,05",12.5,1.93,4.02,8094,39.2
"2014,06",13.67,1.23,3.67,12339,38.6
"2014,07",23,2.77,3.3,16370,44.25
"2014,08",16.83,2.22,4.13,17850,40.94
"2014,09",9.83,4.35,4.28,9306,40.39
"2014,10",9.67,4.48,5.58,8201,39.13
"2014,11",12,2.1,5.7,8637,37.59
"2014,12",13,4.2,5.68,7400,40.26
"2015,01",9.67,1.57,5.88,4463,35.44
"2015,02",7.67,1.55,6.75,3441,33.63
"2015,03",9.5,3.92,5.05,7310,39.09
"2015,04",9.5,1.43,6.35,4503,34.7
"2015,05",11,1.02,4.12,9843,36.37
"2015,06",8.67,1.47,4.9,11123,35.58
"2015,07",11.33,2.68,3.47,14975,40.51
"2015,08",12.33,2.25,2.98,16423,41.06
"2015,09",12.67,7.07,3.47,7800,44.21
"2015,10",13.17,5.27,2.63,6667,44.76
"2015,11",12.67,4.28,2.83,6380,43.54
"2015,12",16.5,1.07,1.77,2804,42.53
"2016,01",11,1.4,3.95,2175,37.61
"2016,02",9.83,2.03,5.03,4311,37.13
"2016,03",9,1.1,5.48,3537,34.28
"2016,04",15.67,2.7,4.1,5540,41.28
"2016,05",12.67,1.8,4.43,9517,38.56
"2016,06",11.67,4.7,4.57,7250,41.16
"2016,07",10.33,2.92,4.65,10672,38.93
"2016,08",13.17,5.53,4.33,9306,42.52
"2016,09",11.5,4.95,4.6,6738,41.22
